School,Author,Date,Content
UCSB,Awgest#7349,11/7/22,Brooo comp ling prof also finna strike
UCSB,johnic#1983,11/10/22,UCLA is nice tho full benefits and unionized
UCSB,johnic#1983,11/10/22,Imma be so mfing annoying as soon as a I get in the union
UCSB,eurydice#0161,11/10/22,My class on Monday got cancelled bc of strike 4 day weekend ig
UCSB,MK#3101,11/11/22,hi my discrete math prof just said hes not teaching until the strike ends
UCSB,verilcat#2144,11/11/22,Depends how long the strike is
UCSB,verilcat#2144,11/11/22,If UC bargains lol
UCSB,teelee#9514,11/11/22,is the strike actually happening ?
UCSB,MK#3101,11/11/22,for classes w profs on strike do we have to still teach ourselves or is it just on pause
UCSB,verilcat#2144,11/11/22,The graduate student strike..
UCSB,verilcat#2144,11/11/22,JockeyAnon crosses the picket line
UCSB,JockeyAnonðŸŽ„#6643,11/11/22,what picket line
UCSB,verilcat#2144,11/11/22,Professor supporting strike
UCSB,verilcat#2144,11/11/22,By cancelling class in solidarity
UCSB,verilcat#2144,11/11/22,The strike hasn't happened yet
UCSB,JockeyAnonðŸŽ„#6643,11/11/22,last year when they had the faculty strike
UCSB,verilcat#2144,11/11/22,It was an authorized strike but idt it ever became approved
UCSB,Museblood#6969,11/13/22,guys my ochem lab ta is still holding lab... and hes an international student :NWcrying: and katherine just informed me that him not participating in the strike could leave him open to retaliation from ucsb and not getting the protections the unions are bargaining for
UCSB,snailpoop#7012,11/13/22,im in a union :3
UCSB,Museblood#6969,11/13/22,im gonna request access to the union faq google sheet and grief
UCSB,Museblood#6969,11/13/22,@eVoked are econ tas striking
UCSB,Museblood#6969,11/13/22,he's still doing strike work but still holding lab
UCSB,SCB#0078,11/13/22,the picket line nonexistent around those parts
UCSB,Museblood#6969,11/13/22,hes doing strike work...
UCSB,SCB#0078,11/13/22,no way bro doing the strike work but still holding lab :NWcrying:
UCSB,snailpoop#7012,11/13/22,so hes not striking..
UCSB,snailpoop#7012,11/13/22,striking but not in solidarity i guess
UCSB,Museblood#6969,11/13/22,FUCK OUR GRADES BE SAFE BIG DAWG
UCSB,verilcat#2144,11/13/22,Because he's not protected by the union or the UC for being in between
